,date,close
0,10/03/2015,1789.73
1,11/03/2015,1778.16
2,12/03/2015,1786.87
3,13/03/2015,1781.75
4,16/03/2015,1780.54
5,17/03/2015,1787.87
6,18/03/2015,1797.57
7,19/03/2015,1809.13
8,20/03/2015,1803.65
9,23/03/2015,1795.85
10,24/03/2015,1814.04
11,25/03/2015,1819.1
12,26/03/2015,1818.42
13,27/03/2015,1813.37
14,28/03/2015,
15,29/03/2015,
16,30/03/2015,1821.83
17,31/03/2015,1830.78
18,01/04/2015,1826.31
19,02/04/2015,1831.97
20,03/04/2015,1834.52
21,04/04/2015,
22,05/04/2015,
23,06/04/2015,1842.94
24,07/04/2015,1856.51
25,08/04/2015,1850.31
26,09/04/2015,1849.39
27,10/04/2015,1844.31
28,11/04/2015,
29,12/04/2015,
30,13/04/2015,1842.08
31,14/04/2015,1839.61
32,15/04/2015,1840.13
33,16/04/2015,1847.94
34,17/04/2015,1845.86
35,18/04/2015,
36,19/04/2015,
37,20/04/2015,1848.66
38,21/04/2015,1862.8
39,22/04/2015,1854.77
40,23/04/2015,1846.08
41,24/04/2015,1862.58
42,25/04/2015,
43,26/04/2015,
44,27/04/2015,1859.58
45,28/04/2015,1855.06
46,29/04/2015,1842.93
47,30/04/2015,1818.27
48,01/05/2015,
49,02/05/2015,
50,03/05/2015,
51,04/05/2015,
52,05/05/2015,1827.42
53,06/05/2015,1820.97
54,07/05/2015,1805.1
55,08/05/2015,1807.65
56,09/05/2015,
57,10/05/2015,
58,11/05/2015,1805.49
59,12/05/2015,1798.61
60,13/05/2015,1803.02
61,14/05/2015,1805.87
62,15/05/2015,1811.92
63,16/05/2015,
64,17/05/2015,
65,18/05/2015,1823.5
66,19/05/2015,1809.72
67,20/05/2015,1810.11
68,21/05/2015,1795.04
69,22/05/2015,1787.5
70,23/05/2015,
71,24/05/2015,
72,25/05/2015,1767.38
73,26/05/2015,1764.07
74,27/05/2015,1755.05
75,28/05/2015,1755.56
76,29/05/2015,1747.52
77,30/05/2015,
78,31/05/2015,
79,01/06/2015,1743.41
80,02/06/2015,1741.37
81,03/06/2015,1749.17
82,04/06/2015,1741.48
83,05/06/2015,1745.33
84,06/06/2015,
85,07/06/2015,
86,08/06/2015,1739.45
87,09/06/2015,1729.05
88,10/06/2015,1735.63
89,11/06/2015,1734.76
90,12/06/2015,1734.37
91,13/06/2015,
92,14/06/2015,
93,15/06/2015,1722.16
94,16/06/2015,1722.24
95,17/06/2015,1726.86
96,18/06/2015,1718.12
97,19/06/2015,1721.77
98,20/06/2015,
99,21/06/2015,
100,22/06/2015,1732.76
101,23/06/2015,1726.86
102,24/06/2015,1731.68
103,25/06/2015,1716.81
104,26/06/2015,1710.47
105,27/06/2015,
106,28/06/2015,
107,29/06/2015,1691.92
108,30/06/2015,1706.64
109,01/07/2015,1727.96
110,02/07/2015,1733.88
111,03/07/2015,1734.24
112,04/07/2015,
113,05/07/2015,
114,06/07/2015,1717.05
115,07/07/2015,1712.3
116,08/07/2015,1695.83
117,09/07/2015,1701.54
118,10/07/2015,1715.58
119,11/07/2015,
120,12/07/2015,
121,13/07/2015,1716.11
122,14/07/2015,1721.1
123,15/07/2015,1715.58
124,16/07/2015,1726.73
125,17/07/2015,
126,18/07/2015,
127,19/07/2015,
128,20/07/2015,1724.13
129,21/07/2015,1736.19
130,22/07/2015,1729.53
131,23/07/2015,1722.44
132,24/07/2015,1720.76
133,27/07/2015,1709.76
134,28/07/2015,1699.7
135,29/07/2015,1698.99
136,30/07/2015,1699.92
137,31/07/2015,1723.14
138,03/08/2015,1744.19
139,04/08/2015,1723.73
140,05/08/2015,1725.56
141,06/08/2015,1694.64
142,07/08/2015,1682.65
143,10/08/2015,1654.37
144,11/08/2015,1636.71
145,12/08/2015,1609.93
